month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
6,01/06/1988,1802.5,1892.2,1798.9,1857.6,0,1857.6,1.030568655,3.056865465
6,01/06/1987,2210,2327.6,2200.9,2284.1,0,2284.1,1.033529412,3.352941176
6,02/06/1986,1604.4,1649.8,1563.2,1649.8,0,1649.8,1.028297183,2.829718275
6,03/06/1985,1315.8,1336.7,1221.5,1234.9,0,1234.9,0.938516492,-6.148350813
6,01/06/1984,1026.8,1090.5,1023.4,1039.2,0,1039.2,1.012076354,1.207635372
7,01/07/2010,4916.9,5411.5,4790,5258,989418400,5258,1.069372979,6.937297891
7,01/07/2009,4249.2,4646.9,4096.1,4608.4,1036404000,4608.4,1.084533559,8.453355926
7,01/07/2008,5625.9,5625.9,5071.1,5411.9,1735849400,5411.9,0.961961642,-3.803835831
7,02/07/2007,6607.9,6754.1,6186.2,6360.1,1846057500,6360.1,0.962499432,-3.75005675
7,03/07/2006,5833.4,5982.5,5654.6,5928.3,1403843000,5928.3,1.016268386,1.62683855
7,01/07/2005,5113.2,5308.6,5022.1,5282.3,1791884100,5282.3,1.033071267,3.307126653
7,01/07/2004,4464.1,4487.9,4283.2,4413.1,1644811500,4413.1,0.988575525,-1.142447526
7,01/07/2003,4031.2,4183,3951.5,4157,1663719800,4157,1.031206589,3.120658861
7,01/07/2002,4656.4,4708.7,3625.9,4246.2,0,4246.2,0.911906194,-8.809380637
7,02/07/2001,5642.5,5726.1,5260.5,5529.1,0,5529.1,0.979902525,-2.009747452
7,03/07/2000,6312.7,6545.1,6274.9,6365.3,0,6365.3,1.008332409,0.833240927
7,01/07/1999,6372.1,6649.5,6092.1,6231.9,0,6231.9,0.977997834,-2.200216569
7,01/07/1998,5840.6,6183.7,5782.2,5837,0,5837,0.999383625,-0.061637503
7,01/07/1997,4606,4998.1,4597.1,4907.5,0,4907.5,1.065458098,6.545809813
7,01/07/1996,3710.4,3790,3612.6,3703.2,0,3703.2,0.998059508,-0.194049159
7,03/07/1995,3310.2,3487.8,3300.4,3463.3,0,3463.3,1.046250982,4.625098181
7,01/07/1994,2914.1,3132.8,2906.2,3082.6,0,3082.6,1.057822312,5.782231221
7,01/07/1993,2901.5,2939.5,2801.2,2926.5,0,2926.5,1.008616233,0.861623298
7,01/07/1992,2525.6,2529.4,2347.4,2399.6,0,2399.6,0.950110865,-4.988913525
7,01/07/1991,2416.7,2612.4,2416.7,2588.8,0,2588.8,1.071212811,7.121281086
7,02/07/1990,2373.6,2430.6,2311.5,2326.2,0,2326.2,0.980030334,-1.996966633
7,03/07/1989,2159.3,2319.9,2154.9,2297,0,2297,1.063770666,6.377066642
7,01/07/1988,1862.1,1883.5,1826.7,1853.6,0,1853.6,0.995435261,-0.456473874
7,01/07/1987,2272.6,2455.2,2265.5,2360.9,0,2360.9,1.038854176,3.885417583
7,01/07/1986,1652.5,1663.6,1536.8,1558.1,0,1558.1,0.942874433,-5.712556732
7,01/07/1985,1229.9,1266.8,1215.4,1261.7,0,1261.7,1.025855761,2.585576063
7,02/07/1984,1041.3,1065.1,978.7,1009.4,0,1009.4,0.969365217,-3.063478344
8,02/08/2010,5258,5418.6,5070.9,5225.2,922769100,5225.2,0.993761887,-0.623811335
8,03/08/2009,4608.4,4944.2,4595.6,4908.9,1084924000,4908.9,1.065207013,6.520701328
8,01/08/2008,5411.9,5649.1,5299.7,5636.6,1230898300,5636.6,1.041519614,4.151961418
8,01/08/2007,6360.1,6406.3,5821.7,6303.3,1812830100,6303.3,0.991069323,-0.893067719
8,01/08/2006,5928.3,5949.8,5752.6,5906.1,1416730100,5906.1,0.99625525,-0.374474976
8,01/08/2005,5282.3,5386.4,5228.1,5296.9,1359418800,5296.9,1.002763948,0.276394752
8,02/08/2004,4413.1,4490.1,4283,4459.3,1435898900,4459.3,1.010468831,1.046883143
8,01/08/2003,4157,4286.9,4044.9,4161.1,1567267900,4161.1,1.000986288,0.098628819
8,01/08/2002,4246.2,4466.4,3900.7,4227.3,0,4227.3,0.995548961,-0.445103858
8,01/08/2001,5529.1,5644.2,5286.7,5345,0,5345,0.966703442,-3.329655821
8,01/08/2000,6365.3,6675.7,6296.4,6672.7,0,6672.7,1.048293089,4.829308909
8,02/08/1999,6228.4,6434.4,5976.2,6246.4,0,6246.4,1.002889988,0.28899878
8,03/08/1998,5832.2,5832.2,5108.7,5249.4,0,5249.4,0.900072014,-9.992798601
8,01/08/1997,4914.6,5095.3,4779.3,4817.5,0,4817.5,0.980242543,-1.975745737
8,01/08/1996,3709.3,3922.1,3697.7,3867.6,0,3867.6,1.042676516,4.267651578
8,01/08/1995,3458.7,3540.7,3433.4,3477.8,0,3477.8,1.005522306,0.552230607
8,01/08/1994,3077.8,3280,3075.8,3251.3,0,3251.3,1.056371434,5.637143414
8,02/08/1993,2920,3115.1,2919.5,3100,0,3100,1.061643836,6.164383562
8,03/08/1992,2390.8,2434.8,2260.6,2312.6,0,2312.6,0.967291283,-3.270871675
8,01/08/1991,2586.2,2648.2,2495.7,2645.7,0,2645.7,1.023006728,2.300672802
